median_income,housing_age,avg_occupants,latitude,longitude,median_house_value,avg_rooms_bedrooms
8.3252,41.0,2.5555555555555554,37.88,-122.23,4.526,8.007936507936508
8.3014,21.0,2.109841827768014,37.86,-122.22,3.585,7.210017574692443
7.2574,52.0,2.8022598870056497,37.85,-122.24,3.521,9.361581920903955
5.6431,52.0,2.547945205479452,37.85,-122.25,3.413,6.890410958904109
3.8462,52.0,2.1814671814671813,37.85,-122.25,3.422,7.362934362934363
4.0368,52.0,2.139896373056995,37.85,-122.25,2.697,5.865284974093264
3.6591,52.0,2.1284046692607004,37.84,-122.25,2.992,5.883268482490273
3.12,52.0,1.7882534775888717,37.84,-122.25,2.414,5.859350850077281
2.0804,42.0,2.026890756302521,37.84,-122.26,2.267,5.411764705882353
3.6912,52.0,2.172268907563025,37.84,-122.25,2.611,5.96078431372549
3.2031,52.0,2.263681592039801,37.85,-122.26,2.815,6.557213930348258
3.2705,52.0,2.0490463215258856,37.85,-122.26,2.418,5.79700272479564
3.075,52.0,2.3461538461538463,37.85,-122.26,2.135,6.335470085470085
2.6736,52.0,1.9827586206896552,37.84,-122.26,1.913,5.097701149425287
1.9167,52.0,1.9548387096774191,37.85,-122.26,1.592,5.27258064516129
2.125,50.0,2.640151515151515,37.85,-122.26,1.4,5.3143939393939394
2.775,52.0,2.395770392749245,37.85,-122.27,1.525,6.9879154078549846
2.1202,52.0,2.1386138613861387,37.85,-122.27,1.555,5.01980198019802
1.9911,50.0,2.3627684964200477,37.84,-122.26,1.587,6.429594272076372
2.6033,52.0,2.5090909090909093,37.84,-122.27,1.629,6.549090909090909
1.3578,40.0,2.463855421686747,37.85,-122.27,1.475,5.632530120481928
1.7135,42.0,2.5382513661202184,37.85,-122.27,1.598,5.48087431693989
1.725,52.0,2.1234309623430963,37.84,-122.27,1.139,6.228033472803347
2.1806,52.0,2.624615384615385,37.84,-122.27,0.997,6.230769230769231
2.6,52.0,2.3838862559241707,37.84,-122.27,1.326,6.30568720379147
2.4038,41.0,2.6638655462184873,37.85,-122.28,1.075,5.529411764705882
2.4597,49.0,2.5397489539748954,37.85,-122.28,0.938,5.7489539748953975
1.808,52.0,2.7758186397984885,37.85,-122.28,1.055,5.841309823677582
1.6424,50.0,2.391120507399578,37.84,-122.28,1.089,5.441860465116279
1.6875,52.0,2.5483870967741935,37.84,-122.28,1.32,5.735483870967742
1.9274,49.0,2.2830687830687832,37.84,-122.28,1.223,6.251322751322752
